category_id,category
0,mexican
1,restaurants
2,arts&entertainment
3,eventplanning&services
4,italian
5,gluten-free
6,nightlife
7,lounges
8,vegan
9,bars
10,caterers
11,vegetarian
12,pizza
13,vietnamese
14,asianfusion
15,american(new)
16,breakfast&brunch
17,thai
18,middleeastern
19,japanese
20,sushibars
21,noodles
22,food
23,bakeries
24,delis
25,sandwiches
26,american(traditional)
27,breweries
28,steakhouses
29,seafood
30,coffee&tea
31,fastfood
32,burgers
33,diners
34,salad
35,chickenwings
36,chickenshop
37,caribbean
38,automotive
39,conveniencestores
40,gasstations
41,beerbar
42,cafes
43,pubs
44,brasseries
45,cheesesteaks
46,financialservices
47,banks&creditunions
48,indian
49,soulfood
50,southern
51,divebars
52,tex-mex
53,ethnicfood
54,specialtyfood
55,fruits&veggies
56,chinese
57,children'sclothing
58,comfortfood
59,fashion
60,departmentstores
61,beauty&spas
62,women'sclothing
63,men'sclothing
64,cosmetics&beautysupply
65,shopping
66,filipino
67,bagels
68,laotian
69,puertorican
70,latinamerican
71,cardealers
72,icecream&frozenyogurt
73,meatshops
74,barbeque
75,localflavor
76,sportsbars
77,bubbletea
78,newmexicancuisine
79,african
80,buffets
81,cocktailbars
82,french
83,juicebars&smoothies
84,seafoodmarkets
85,peruvian
86,soup
87,pakistani
88,desserts
89,winebars
90,importedfood
91,cuban
92,kosher
93,musicvenues
94,hotdogs
95,tacos
96,venues&eventspaces
97,cajun/creole
98,party&eventplanning
99,beer
100,wine&spirits
101,visitorcenters
102,travelservices
103,hotels&travel
104,foodstands
105,shoppingcenters
106,drugstores
107,grocery
108,donuts
109,german
110,arcades
111,activelife
112,bowling
113,bed&breakfast
114,candystores
115,gastropubs
116,tapas/smallplates
117,jazz&blues
118,farmersmarket
119,smokehouse
120,foodtrucks
121,korean
122,pretzels
123,nurseries&gardening
124,home&garden
125,dominican
126,pastashops
127,malaysian
128,mediterranean
129,butcher
130,greek
131,kebab
132,festivals
133,halal
134,afghan
135,fooddeliveryservices
136,appliances
137,appliances&repair
138,localservices
139,streetvendors
140,brewpubs
141,patisserie/cakeshop
142,beergardens
143,szechuan
144,irish
145,live/rawfood
146,ramen
147,wraps
148,hotels
149,waffles
150,adultentertainment
151,internetcafes
152,wholesalers
153,professionalservices
154,restaurantsupplies
155,moroccan
156,salvadoran
157,spanish
158,karaoke
159,foodcourt
160,falafel
161,hookahbars
162,arts&crafts
163,irishpub
164,speakeasies
165,healthmarkets
166,poke
167,hawaiian
168,publicmarkets
169,moderneuropean
170,belgian
171,danceclubs
172,pop-uprestaurants
173,acaibowls
174,dimsum
175,tapasbars
176,antiques
177,taiwanese
178,whiskeybars
179,tearooms
180,sicilian
181,bistros
182,fondue
183,do-it-yourselffood
184,customcakes
185,cupcakes
186,coffeeshops
187,british
188,cantonese
189,kidsactivities
190,indoorplaycentre
191,brazilian
